Age,Gender,Education_Level,Job_Title,Years_of_Experience,Experience_categories,Salary
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,11,Senior,115000
32,Male,Bachelors,Junior Web Developer,2,Intermediate,45000
24,Female,High School,Junior HR Generalist,1,Fresher,32000
45,Male,PhD,Senior Human Resources Manager,12,Senior,120000
29,Female,Masters,Web Developer,4,Intermediate,65000
38,Male,Bachelors,Senior HR Generalist,8,Mid-Level,95000
27,Female,Masters,Director of HR,5,Intermediate,80000
31,Female,High School,Junior HR Coordinator,3,Intermediate,38000
42,Male,Masters,Web Developer,10,Mid-Level,110000
26,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
36,Male,Masters,Senior HR Generalist,7,Mid-Level,89000
28,Male,High School,Junior HR Generalist,1,Fresher,32000
33,Female,Bachelors,Web Developer,5,Intermediate,70000
46,Male,PhD,Director of HR,15,Senior,150000
25,Female,Bachelors,Junior Web Developer,1,Fresher,40000
37,Female,Masters,Senior Human Resources Manager,9,Mid-Level,105000
30,Male,Masters,Web Developer,4,Intermediate,65000
43,Female,PhD,Director of HR,14,Senior,140000
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
26,Female,High School,Junior HR Generalist,2,Intermediate,35000
41,Male,Masters,Senior HR Generalist,11,Senior,115000
29,Female,Masters,Web Developer,5,Intermediate,70000
35,Male,Bachelors,Web Developer,6,Mid-Level,80000
27,Female,High School,Junior HR Coordinator,1,Fresher,30000
40,Male,PhD,Director of HR,13,Senior,135000
23,Female,Bachelors,Junior Web Developer,1,Fresher,40000
39,Male,Masters,Senior HR Generalist,10,Mid-Level,105000
31,Male,High School,Junior HR Generalist,2,Intermediate,35000
44,Female,PhD,Senior Human Resources Manager,12,Senior,120000
28,Male,Masters,Web Developer,3,Intermediate,55000
32,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
45,Male,Masters,Director of HR,14,Senior,140000
26,Female,Bachelors,Web Developer,3,Intermediate,55000
38,Male,PhD,Senior Human Resources Manager,11,Senior,115000
27,Female,Masters,Senior HR Generalist,4,Intermediate,70000
33,Male,High School,Junior HR Coordinator,3,Intermediate,38000
42,Female,Masters,Director of HR,13,Senior,135000
29,Male,Bachelors,Junior Web Developer,2,Intermediate,45000
36,Female,Masters,Web Developer,7,Mid-Level,85000
30,Male,High School,Junior HR Generalist,1,Fresher,32000
43,Female,PhD,Senior Human Resources Manager,15,Senior,150000
34,Male,Bachelors,Web Developer,4,Intermediate,65000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,12,Senior,120000
24,Female,Bachelors,Junior Web Developer,1,Fresher,40000
39,Male,Masters,Senior HR Generalist,9,Mid-Level,95000
31,Male,High School,Junior HR Generalist,2,Intermediate,35000
44,Female,PhD,Director of HR,14,Senior,140000
28,Male,Bachelors,Web Developer,3,Intermediate,55000
32,Female,Masters,Senior Human Resources Manager,6,Mid-Level,80000
45,Male,PhD,Director of HR,13,Senior,135000
26,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
38,Male,Masters,Senior HR Generalist,8,Mid-Level,95000
27,Female,High School,Junior HR Generalist,1,Fresher,32000
33,Male,Bachelors,Web Developer,5,Intermediate,70000
42,Female,Masters,Director of HR,12,Senior,120000
29,Male,Masters,Senior Human Resources Manager,4,Intermediate,70000
36,Female,Masters,Web Developer,7,Mid-Level,85000
30,Male,High School,Junior HR Coordinator,2,Intermediate,33000
43,Female,PhD,Senior Human Resources Manager,15,Senior,150000
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,11,Senior,115000
24,Female,Bachelors,Web Developer,1,Fresher,40000
39,Male,Masters,Senior HR Generalist,10,Mid-Level,105000
31,Male,High School,Junior HR Generalist,2,Intermediate,35000
44,Female,PhD,Director of HR,13,Senior,135000
28,Male,Bachelors,Web Developer,4,Intermediate,65000
32,Female,Masters,Senior Human Resources Manager,6,Mid-Level,80000
45,Male,PhD,Director of HR,14,Senior,140000
26,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
38,Male,Masters,Senior HR Generalist,8,Mid-Level,95000
27,Female,High School,Junior HR Generalist,1,Fresher,32000
33,Male,Bachelors,Web Developer,5,Intermediate,70000
42,Female,Masters,Director of HR,12,Senior,120000
29,Male,Masters,Senior Human Resources Manager,4,Intermediate,70000
36,Female,Masters,Web Developer,7,Mid-Level,85000
30,Male,High School,Junior HR Coordinator,2,Intermediate,33000
43,Female,PhD,Senior Human Resources Manager,15,Senior,150000
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,11,Senior,115000
24,Female,Bachelors,Web Developer,1,Fresher,40000
39,Male,Masters,Senior HR Generalist,10,Mid-Level,105000
31,Male,High School,Junior HR Generalist,2,Intermediate,35000
44,Female,PhD,Director of HR,13,Senior,135000
28,Male,Bachelors,Web Developer,4,Intermediate,65000
32,Female,Masters,Senior Human Resources Manager,6,Mid-Level,80000
45,Male,PhD,Director of HR,14,Senior,140000
26,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
38,Male,Masters,Senior HR Generalist,8,Mid-Level,95000
27,Female,High School,Junior HR Generalist,1,Fresher,32000
33,Male,Bachelors,Web Developer,5,Intermediate,70000
42,Female,Masters,Director of HR,12,Senior,120000
29,Male,Masters,Senior Human Resources Manager,4,Intermediate,70000
36,Female,Masters,Web Developer,7,Mid-Level,85000
30,Male,High School,Junior HR Coordinator,2,Intermediate,33000
43,Female,PhD,Senior Human Resources Manager,15,Senior,150000
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,11,Senior,115000
24,Female,Bachelors,Web Developer,1,Fresher,40000
39,Male,Masters,Senior HR Generalist,10,Mid-Level,105000
31,Male,High School,Junior HR Generalist,2,Intermediate,35000
44,Female,PhD,Director of HR,13,Senior,135000
28,Male,Bachelors,Web Developer,4,Intermediate,65000
32,Female,Masters,Senior Human Resources Manager,6,Mid-Level,80000
45,Male,PhD,Director of HR,14,Senior,140000
26,Female,Bachelors,Junior Web Developer,2,Intermediate,45000
38,Male,Masters,Senior HR Generalist,8,Mid-Level,95000
27,Female,High School,Junior HR Generalist,1,Fresher,32000
33,Male,Bachelors,Web Developer,5,Intermediate,70000
42,Female,Masters,Director of HR,12,Senior,120000
29,Male,Masters,Senior Human Resources Manager,4,Intermediate,70000
36,Female,Masters,Web Developer,7,Mid-Level,85000
30,Male,High School,Junior HR Coordinator,2,Intermediate,33000
43,Female,PhD,Senior Human Resources Manager,15,Senior,150000
34,Male,Bachelors,Junior Web Developer,3,Intermediate,50000
25,Female,Masters,Junior HR Generalist,1,Fresher,32000
37,Male,PhD,Director of HR,11,Senior,115000
28,Male,Bachelors,Software Engineer,3,Intermediate,60000
37,Female,Masters,Marketing Manager,9,Mid-Level,100000
43,Male,PhD,Data Scientist,15,Senior,150000
31,Female,Bachelors,Human Resources Coordinator,4,Intermediate,55000
24,Male,High School,Junior Sales Associate,1,Fresher,30000
29,Female,Masters,Software Developer,5,Intermediate,70000
35,Male,Bachelors,Operations Manager,8,Mid-Level,90000
26,Female,Masters,Marketing Coordinator,2,Intermediate,40000
42,Male,PhD,Data Scientist,12,Senior,130000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
31,Male,Bachelors,Operations Manager,5,Intermediate,70000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,13,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
28,Male,High School,Junior Sales Associate,2,Intermediate,35000
39,Female,Masters,Marketing Manager,10,Mid-Level,110000
31,Male,Bachelors,Software Engineer,4,Intermediate,65000
45,Male,PhD,Data Scientist,18,Senior,180000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,11,Senior,120000
33,Male,Bachelors,Operations Manager,6,Mid-Level,75000
29,Female,High School,Junior Sales Associate,1,Fresher,30000
44,Male,PhD,Data Scientist,16,Senior,160000
26,Male,Bachelors,Software Developer,3,Intermediate,60000
27,Male,Bachelors,Software Engineer,3,Intermediate,60000
38,Female,Masters,Marketing Manager,9,Mid-Level,100000
44,Male,PhD,Data Scientist,15,Senior,150000
30,Female,Bachelors,Human Resources Coordinator,4,Intermediate,55000
23,Male,High School,Junior Sales Associate,1,Fresher,30000
28,Female,Masters,Software Developer,5,Intermediate,70000
34,Male,Bachelors,Operations Manager,8,Mid-Level,90000
25,Female,Masters,Marketing Coordinator,2,Intermediate,40000
41,Male,PhD,Data Scientist,12,Senior,130000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,35000
37,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
35,Female,Masters,Marketing Coordinator,8,Mid-Level,85000
30,Male,Bachelors,Operations Manager,5,Intermediate,70000
26,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
41,Male,PhD,Data Scientist,13,Senior,140000
33,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
27,Male,High School,Junior Sales Associate,2,Intermediate,35000
38,Female,Masters,Marketing Manager,10,Mid-Level,110000
29,Male,Bachelors,Software Engineer,4,Intermediate,65000
46,Male,PhD,Data Scientist,18,Senior,180000
26,Female,Bachelors,Junior Software Developer,1,Fresher,35000
39,Female,Masters,Human Resources Manager,11,Senior,120000
32,Male,Bachelors,Operations Manager,6,Mid-Level,75000
28,Female,High School,Junior Sales Associate,1,Fresher,30000
43,Male,PhD,Data Scientist,16,Senior,160000
27,Male,Bachelors,Software Developer,3,Intermediate,60000
24,Male,Bachelors,Software Engineer,2,Intermediate,55000
32,Female,Masters,Marketing Manager,7,Mid-Level,90000
45,Male,PhD,Data Scientist,16,Senior,160000
28,Female,Bachelors,Human Resources Coordinator,4,Intermediate,60000
22,Male,High School,Junior Sales Associate,1,Fresher,25000
29,Female,Masters,Software Developer,5,Intermediate,70000
36,Male,Bachelors,Operations Manager,8,Mid-Level,100000
27,Female,Bachelors,Marketing Coordinator,3,Intermediate,45000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
25,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
47,Male,PhD,Data Scientist,19,Senior,190000
25,Female,Bachelors,Junior Software Developer,1,Fresher,35000
40,Female,Masters,Human Resources Manager,12,Senior,130000
33,Male,Bachelors,Operations Manager,7,Mid-Level,85000
29,Female,High School,Junior Sales Associate,1,Fresher,25000
44,Male,PhD,Data Scientist,15,Senior,150000
28,Male,Bachelors,Software Developer,3,Intermediate,60000
36,Female,Masters,Marketing Coordinator,9,Mid-Level,100000
31,Male,Bachelors,Operations Manager,6,Mid-Level,75000
27,Female,Masters,Human Resources Coordinator,3,Intermediate,50000
42,Male,PhD,Data Scientist,14,Senior,140000
34,Female,Bachelors,Human Resources Manager,6,Mid-Level,75000
26,Male,High School,Junior Sales Associate,2,Intermediate,30000
39,Female,Masters,Marketing Manager,11,Senior,120000
30,Male,Bachelors,Software Engineer,4,Intermediate,65000
